timestamp,cpu_usage
2025-03-01 00:13:00,43
2025-03-01 00:16:00,23
2025-03-01 00:18:00,48
2025-03-01 00:23:00,43
2025-03-01 00:28:00,53
2025-03-01 01:04:00,83
2025-03-01 01:14:00,60
2025-03-01 01:16:00,32
2025-03-01 01:19:00,27
2025-03-01 01:22:00,15
2025-03-01 01:26:00,46
2025-03-01 01:32:00,61
2025-03-01 01:39:00,16
2025-03-01 01:44:00,82
2025-03-01 02:01:00,21
2025-03-01 02:07:00,95
2025-03-01 02:41:00,54
2025-03-01 03:04:00,60
2025-03-01 03:15:00,33
2025-03-01 03:18:00,16
2025-03-01 03:18:00,60
2025-03-01 03:25:00,62
2025-03-01 03:25:00,97
2025-03-01 03:39:00,52
2025-03-01 03:43:00,88
2025-03-01 04:00:00,91
2025-03-01 04:02:00,69
2025-03-01 04:03:00,26
2025-03-01 04:34:00,74
2025-03-01 04:41:00,10
2025-03-01 04:42:00,76
2025-03-01 04:47:00,71
2025-03-01 04:54:00,50
2025-03-01 04:55:00,35
2025-03-01 04:59:00,47
2025-03-01 05:05:00,87
2025-03-01 05:23:00,66
2025-03-01 05:26:00,73
2025-03-01 05:49:00,77
2025-03-01 05:54:00,68
2025-03-01 05:59:00,88
2025-03-01 06:30:00,12
2025-03-01 06:34:00,24
2025-03-01 06:57:00,62
2025-03-01 07:04:00,98
2025-03-01 07:04:00,81
2025-03-01 07:18:00,35
2025-03-01 07:28:00,27
2025-03-01 07:40:00,48
2025-03-01 07:42:00,91
2025-03-01 07:46:00,16
2025-03-01 07:55:00,78
2025-03-01 07:56:00,16
2025-03-01 08:13:00,37
2025-03-01 08:16:00,16
2025-03-01 08:24:00,45
2025-03-01 08:26:00,97
2025-03-01 08:27:00,28
2025-03-01 08:28:00,30
2025-03-01 08:45:00,71
2025-03-01 08:46:00,33
2025-03-01 09:01:00,88
2025-03-01 09:01:00,56
2025-03-01 09:03:00,93
2025-03-01 09:07:00,67
2025-03-01 09:16:00,27
2025-03-01 09:32:00,89
2025-03-01 09:36:00,73
2025-03-01 09:42:00,68
2025-03-01 09:44:00,92
2025-03-01 09:45:00,78
2025-03-01 09:48:00,51
2025-03-01 09:49:00,25
2025-03-01 09:51:00,100
2025-03-01 09:51:00,19
2025-03-01 09:52:00,14
2025-03-01 09:54:00,59
2025-03-01 10:04:00,82
2025-03-01 10:04:00,57
2025-03-01 10:12:00,85
2025-03-01 10:28:00,30
2025-03-01 10:30:00,98
2025-03-01 10:36:00,98
2025-03-01 10:40:00,34
2025-03-01 10:52:00,30
2025-03-01 10:53:00,54
2025-03-01 10:53:00,40
2025-03-01 11:02:00,41
2025-03-01 11:05:00,94
2025-03-01 11:10:00,83
2025-03-01 11:11:00,88
2025-03-01 11:11:00,21
2025-03-01 11:15:00,48
2025-03-01 11:16:00,70
2025-03-01 11:17:00,30
2025-03-01 11:22:00,70
2025-03-01 11:28:00,74
2025-03-01 11:36:00,87
2025-03-01 12:22:00,80
2025-03-01 12:34:00,52
2025-03-01 12:38:00,75
2025-03-01 12:44:00,53
2025-03-01 12:45:00,63
2025-03-01 12:51:00,50
2025-03-01 12:58:00,28
2025-03-01 13:05:00,40
2025-03-01 13:11:00,74
2025-03-01 13:24:00,88
2025-03-01 13:28:00,54
2025-03-01 13:36:00,26
2025-03-01 13:40:00,95
2025-03-01 13:42:00,74
2025-03-01 13:45:00,56
2025-03-01 13:50:00,97
2025-03-01 13:51:00,48
2025-03-01 13:53:00,93
2025-03-01 14:05:00,98
2025-03-01 14:11:00,71
2025-03-01 14:13:00,84
2025-03-01 14:15:00,32
2025-03-01 14:17:00,29
2025-03-01 14:35:00,75
2025-03-01 14:42:00,27
2025-03-01 15:03:00,50
2025-03-01 15:05:00,93
2025-03-01 15:14:00,44
2025-03-01 15:22:00,80
2025-03-01 15:28:00,19
2025-03-01 15:31:00,87
2025-03-01 15:39:00,92
2025-03-01 15:51:00,36
2025-03-01 15:55:00,25
2025-03-01 15:58:00,44
2025-03-01 16:04:00,78
2025-03-01 16:05:00,17
2025-03-01 16:12:00,12
2025-03-01 16:14:00,71
2025-03-01 16:19:00,29
2025-03-01 16:19:00,77
2025-03-01 16:22:00,54
2025-03-01 16:31:00,34
2025-03-01 16:41:00,50
2025-03-01 16:43:00,100
2025-03-01 16:54:00,33
2025-03-01 16:58:00,12
2025-03-01 17:01:00,49
2025-03-01 17:07:00,88
2025-03-01 17:09:00,100
2025-03-01 17:15:00,68
2025-03-01 17:23:00,78
2025-03-01 17:34:00,69
2025-03-01 17:35:00,27
2025-03-01 17:43:00,68
2025-03-01 17:53:00,73
2025-03-01 17:56:00,67
2025-03-01 18:11:00,53
2025-03-01 18:23:00,44
2025-03-01 18:32:00,58
2025-03-01 18:38:00,55
2025-03-01 18:47:00,30
2025-03-01 19:02:00,56
2025-03-01 19:02:00,48
2025-03-01 19:07:00,45
2025-03-01 19:10:00,23
2025-03-01 19:10:00,34
2025-03-01 19:11:00,99
2025-03-01 19:12:00,48
2025-03-01 19:23:00,87
2025-03-01 19:34:00,96
2025-03-01 19:44:00,83
2025-03-01 19:52:00,83
2025-03-01 19:54:00,55
2025-03-01 19:55:00,71
2025-03-01 20:01:00,40
2025-03-01 20:20:00,20
2025-03-01 20:22:00,70
2025-03-01 20:23:00,93
2025-03-01 20:33:00,75
2025-03-01 20:58:00,38
2025-03-01 21:00:00,63
2025-03-01 21:28:00,13
2025-03-01 21:28:00,89
2025-03-01 21:48:00,61
2025-03-01 21:53:00,79
2025-03-01 21:57:00,98
2025-03-01 22:12:00,35
2025-03-01 22:15:00,83
2025-03-01 22:18:00,56
2025-03-01 22:40:00,37
2025-03-01 22:51:00,77
2025-03-01 22:57:00,70
2025-03-01 22:59:00,24
2025-03-01 23:01:00,34
2025-03-01 23:04:00,97
2025-03-01 23:13:00,88
2025-03-01 23:14:00,41
2025-03-01 23:30:00,17
2025-03-01 23:38:00,40
2025-03-01 23:54:00,24
2025-03-01 23:57:00,80
